Added supplier, 2021-04-25T18:27:03.636744967
Added supplier, 2021-04-25T18:27:04.733646718
Added RAM, 2021-04-30T14:28:48.495337490
Added RAM, 2021-04-30T14:28:49.625723105
Added RAM, 2021-04-30T14:31:36.708658396
Added RAM, 2021-04-30T14:31:37.459521845
Added RAM, 2021-04-30T15:17:46.453102121
Added RAM, 2021-04-30T15:17:47.514603172
Added supplier, 2021-04-30T15:17:59.991074092
Added supplier, 2021-04-30T15:18:00.985165810
Added supplier, 2021-04-30T15:19:18.133878018
Added supplier, 2021-04-30T15:19:19.242631092
Added HDD, 2021-04-30T15:19:42.971080775
Added HDD, 2021-04-30T15:19:47.663118517
Added supplier, 2021-04-30T16:00:47.673831703
Added supplier, 2021-04-30T16:00:47.715756162
Added HDD, 2021-04-30T16:06:56.988860450
Added HDD, 2021-04-30T16:06:57.504755432
Added supplier, 2021-04-30T16:07:06.787075160
Added supplier, 2021-04-30T16:07:07.977216701
Added supplier, 2021-04-30T16:10:19.743917949
Added supplier, 2021-04-30T16:10:19.788177481
Added supplier, 2021-04-30T16:15:29.253481404
Added supplier, 2021-04-30T16:15:29.286647017
Added supplier, 2021-04-30T16:17:40.989319539
Added supplier, 2021-04-30T16:17:41.067284349
Added supplier, 2021-04-30T16:18:15.434847886
Added supplier, 2021-04-30T16:18:15.482204257
Added supplier, 2021-04-30T16:18:29.923798609
Added supplier, 2021-04-30T16:18:29.961399069
Added supplier, 2021-04-30T16:20:34.992359623
Added supplier, 2021-04-30T16:20:35.038091023
Added HDD, 2021-04-30T16:20:35.047118756
Added HDD, 2021-04-30T16:20:35.050206573
Added supplier, 2021-04-30T16:22:35.208179379
Added supplier, 2021-04-30T16:22:35.245686033
Added HDD, 2021-04-30T16:22:35.255674655
Added HDD, 2021-04-30T16:22:35.259632987
Added CPU, 2021-04-30T16:22:46.517234030
Added GPU, 2021-04-30T16:22:51.820842208
Added HDD, 2021-04-30T16:22:58.315691008
Added RAM, 2021-04-30T16:23:23.491166234
Added SSD, 2021-04-30T16:23:29.169207012
Added supplier, 2021-04-30T16:23:40.955901593
CVS file updated, 2021-04-30T16:23:51.568635456
Added supplier, 2021-04-30T16:24:08.726013579
Added supplier, 2021-04-30T16:24:08.769886294
Added supplier, 2021-04-30T16:24:08.771216711
Added HDD, 2021-04-30T16:24:08.783249692
Added HDD, 2021-04-30T16:24:08.787089078
Added CPU, 2021-04-30T16:24:08.790868929
Added GPU, 2021-04-30T16:24:08.794065266
Added HDD, 2021-04-30T16:24:08.800279847
Added SSD, 2021-04-30T16:24:08.802649246
Added supplier, 2021-04-30T16:27:59.314946274
Added supplier, 2021-04-30T16:27:59.343397911
Added supplier, 2021-04-30T16:27:59.344573208
Added HDD, 2021-04-30T16:27:59.351424826
Added HDD, 2021-04-30T16:27:59.353292536
Added CPU, 2021-04-30T16:27:59.354421325
Added GPU, 2021-04-30T16:27:59.355664514
Added HDD, 2021-04-30T16:27:59.357461845
Added SSD, 2021-04-30T16:27:59.359671235
Added RAM, 2021-04-30T16:28:17.058809035
Added supplier, 2021-04-30T16:29:27.868823238
Added supplier, 2021-04-30T16:29:27.903369269
Added supplier, 2021-04-30T16:29:27.904605705
Added HDD, 2021-04-30T16:29:27.910801727
Added HDD, 2021-04-30T16:29:27.912430213
Added CPU, 2021-04-30T16:29:27.913540475
Added GPU, 2021-04-30T16:29:27.914770268
Added HDD, 2021-04-30T16:29:27.916311993
Added SSD, 2021-04-30T16:29:27.918507245
Added supplier, 2021-04-30T16:31:14.707176599
Added supplier, 2021-04-30T16:31:14.742890057
Added supplier, 2021-04-30T16:31:14.744317840
Added HDD, 2021-04-30T16:31:14.752661455
Added HDD, 2021-04-30T16:31:14.754950354
Added CPU, 2021-04-30T16:31:14.756679692
Added GPU, 2021-04-30T16:31:14.758319499
Added HDD, 2021-04-30T16:31:14.759923045
Added RAM, 2021-04-30T16:31:14.761239348
Added SSD, 2021-04-30T16:31:14.764391842
Added RAM, 2021-04-30T16:31:28.522178037
CVS file updated, 2021-04-30T16:31:40.764979959
Added supplier, 2021-04-30T16:33:04.113467100
Added supplier, 2021-04-30T16:33:04.149529446
Added supplier, 2021-04-30T16:33:04.150263511
Added HDD, 2021-04-30T16:33:04.159393995
Added HDD, 2021-04-30T16:33:04.167165539
Added CPU, 2021-04-30T16:33:04.170552621
Added GPU, 2021-04-30T16:33:04.172777379
Added HDD, 2021-04-30T16:33:04.193124290
Added RAM, 2021-04-30T16:33:04.194064882
Added SSD, 2021-04-30T16:33:04.195008438
Added RAM, 2021-04-30T16:33:04.216331508
Added supplier, 2021-04-30T16:33:27.498728455
Added supplier, 2021-04-30T16:33:27.544831013
Added supplier, 2021-04-30T16:33:27.545591454
Added HDD, 2021-04-30T16:33:27.551945738
Added HDD, 2021-04-30T16:33:27.553575353
Added CPU, 2021-04-30T16:33:27.554745864
Added GPU, 2021-04-30T16:33:27.555946997
Added HDD, 2021-04-30T16:33:27.556801860
Added RAM, 2021-04-30T16:33:27.557714136
Added SSD, 2021-04-30T16:33:27.558799502
Added RAM, 2021-04-30T16:33:27.559790480
Product with id 30 got assigned the supplier with id 13, 2021-04-30T17:09:48.864266904
CVS file updated, 2021-04-30T17:09:55.406704935
Added supplier, 2021-04-30T17:10:18.698810249
Added supplier, 2021-04-30T17:10:18.734026663
Added supplier, 2021-04-30T17:10:18.734662778
Added HDD, 2021-04-30T17:10:18.740324105
Added HDD, 2021-04-30T17:10:18.741961900
Added CPU, 2021-04-30T17:10:18.743219929
Added GPU, 2021-04-30T17:10:18.775281465
Added HDD, 2021-04-30T17:10:18.776533849
Added RAM, 2021-04-30T17:10:18.777634635
Added SSD, 2021-04-30T17:10:18.778971722
